PAÍS;UF;ANO;MÊS;ÁREA DE ATRIBUIÇÃO;QTD DE OPERAÇÕES;PRISÕES EM FLAGRANTE;QTD DE VÍTIMAS DE ABUSO SEXUAL INFANTOJUVENIL RESGATADAS;MBAS CUMPRIDOS;PRISÕES PREVENTIVAS CUMPRIDAS;PRISÕES TEMPORÁRIAS CUMPRIDAS
BRASIL;PE;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;0;1;0;0;0;0
BRASIL;PE;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PE;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PE;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PE;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PI;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;1;0;0;2;0;1
BRASIL;PI;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PI;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PI;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PI;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;PR;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;10;4;3;11;0;0
BRASIL;PR;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;PR;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;PR;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
BRASIL;PR;2025;Fev;Crimes de alta tecnologia;0;0;0;0;0;0
BRASIL;RJ;2025;Fev;Crimes cibernéticos relacionados ao abuso sexual infantojuvenil;6;1;0;6;0;0
BRASIL;RJ;2025;Fev;Fraudes bancárias eletrônicas;0;0;0;0;0;0
BRASIL;RJ;2025;Fev;Crimes Cibernéticos (legado);0;0;0;0;0;0
BRASIL;RJ;2025;Fev;Crimes Cibernéticos de Ódio;0;0;0;0;0;0
